,index,Year,Month,total,maxinaday,Norainday
0,0,1962,1,134.6,12.5,22
1,1,1962,2,77.2,11.2,17
2,2,1962,3,73.6,13.4,13
3,3,1962,4,68.6,20.6,17
4,4,1962,5,80.7,22.7,16
5,5,1962,6,50.2,28.3,11
6,6,1962,7,92.2,18.5,15
7,7,1962,8,99.4,25.8,19
8,8,1962,9,122.4,31.1,19
9,9,1962,10,42.6,15.1,12
10,10,1962,11,105.5,23.7,14
11,11,1962,12,86.4,23.6,18
12,12,1963,1,34.8,14.9,13
13,13,1963,2,96.0,19.7,11
14,14,1963,3,212.5,30.5,25
15,15,1963,4,113.7,29.2,20
16,16,1963,5,53.9,7.6,19
17,17,1963,6,46.2,8.6,15
18,18,1963,7,76.6,16.9,14
19,19,1963,8,104.3,40.6,22
20,20,1963,9,39.5,8.8,16
21,21,1963,10,143.1,56.0,21
22,22,1963,11,206.9,35.2,24
23,23,1963,12,112.9,37.0,17
24,24,1964,1,35.9,12.6,17
25,25,1964,2,166.4,46.3,19
26,26,1964,3,233.9,28.7,20
27,27,1964,4,82.9,16.6,20
28,28,1964,5,106.7,17.1,21
29,29,1964,6,89.8,18.1,16
30,30,1964,7,71.5,22.2,16
31,31,1964,8,134.6,63.7,16
32,32,1964,9,75.6,26.7,17
33,33,1964,10,80.2,13.1,19
34,34,1964,11,73.9,21.0,15
35,35,1964,12,152.1,38.3,19
36,36,1965,1,141.6,31.0,19
37,37,1965,2,5.9,2.3,6
38,38,1965,3,132.6,20.1,17
39,39,1965,4,98.4,27.6,19
40,40,1965,5,100.5,25.0,19
41,41,1965,6,128.8,26.8,20
42,42,1965,7,98.3,17.8,17
43,43,1965,8,79.0,20.4,17
44,44,1965,9,94.1,51.8,19
45,45,1965,10,35.4,10.7,12
46,46,1965,11,206.9,69.9,22
47,47,1965,12,196.2,28.8,23
48,48,1966,1,209.8,42.8,21
49,49,1966,2,299.9,43.5,27
50,50,1966,3,37.6,9.8,17
51,51,1966,4,235.6,36.6,21
52,52,1966,5,80.9,13.8,17
53,53,1966,6,102.2,20.3,19
54,54,1966,7,21.3,10.7,10
55,55,1966,8,90.0,18.5,19
56,56,1966,9,82.6,34.4,13
57,57,1966,10,232.2,34.3,19
58,58,1966,11,37.6,6.7,17
59,59,1966,12,84.4,11.9,23
60,60,1967,1,121.4,20.3,17
61,61,1967,2,136.2,26.7,18
62,62,1967,3,34.1,6.1,17
63,63,1967,4,18.1,9.1,7
64,64,1967,5,134.7,20.0,25
65,65,1967,6,35.9,11.2,7
66,66,1967,7,99.3,18.6,19
67,67,1967,8,101.9,25.4,18
68,68,1967,9,148.0,35.5,20
69,69,1967,10,151.1,26.6,25
70,70,1967,11,64.2,15.7,17
71,71,1967,12,65.0,19.6,17
72,72,1968,1,96.5,14.0,20
73,73,1968,2,64.3,31.4,11
74,74,1968,3,70.8,19.9,14
75,75,1968,4,92.6,24.4,18
76,76,1968,5,79.7,34.7,16
77,77,1968,6,59.8,16.3,15
78,78,1968,7,55.9,32.4,7
79,79,1968,8,74.6,13.9,11
80,80,1968,9,156.9,41.6,21
81,81,1968,10,152.6,23.8,23
82,82,1968,11,186.8,36.2,23
83,83,1968,12,174.2,48.1,20
84,84,1969,1,275.0,55.1,21
85,85,1969,2,54.4,11.2,22
86,86,1969,3,79.2,23.6,13
87,87,1969,4,71.2,20.4,14
88,88,1969,5,117.6,22.8,20
89,89,1969,6,84.5,24.6,12
